"followers","track_id","artist_popularity","artist_id","album_id","duration_ms","album_name","name","duration_sec","track_name","track_popularity","label","release_date","album_popularity","genre"
"843990","qEpJmXo43nzE5cCBkU9UHb","84","4oAv0DzAUguBuQqx9jR7Ee","bfFDH4WGuRtgax77rv1eXZ","408465","Space Album","Renee Williams","408.465","Fully-configurable bottom-line installation","69","Dorsey PLC","2020-03-21","60","hip hop"
"74560","0eoOIBayGlHNCXiYQQGCcj","61","K2g5H6con53S4KErc7eR7r","kagCvaZnJwlJ4LpgTRzxaB","185386","Subject Album","Marie Travis","185.386","Virtual contextually-based data-warehouse","99","Scott-Francis","2018-03-31","68","indie"
"989973","BumiScnHr9nQ9vrbKCr0ps","91","qQfkplJekaACSMEscosTsS","cCABpndeyfeYUM514NYUtt","143024","Write Album","Kelsey Sanchez","143.024","Multi-lateral foreground toolset","54","Collins-Gonzales","2023-02-21","77","pop"
"865391","2d9brWCFLsS4QezQLSy038","74","10J5NdaP7kG2E2F3keWFup","50psAR6N4q7HhJnT7YR0ui","375356","Now Album","Russell Thomas","375.356","Enterprise-wide mobile pricing structure","14","May, Perez and Sanchez","2018-02-01","82","electronic"
"475953","X7U8LVwQbftmErP3VGmdN0","95","Xia9J7kAP744EEPmW9susP","LblwgIW2L5L98ecWy44NDT","372725","Same Album","Michael Pacheco","372.725","Public-key content-based concept","46","Scott, Gilbert and Reese","2024-12-31","57","folk"
"742829","FrBMXNhP7KmbX2nfxHtXXi","8","mNzlPFgjIXBnNPg6CTqgce","zuNXrxXlcCOgmGUdh26Yip","210385","Hold Album","Christina Allen","210.385","Multi-tiered optimizing artificial intelligence","39","Price Ltd","2019-02-07","12","jazz"
"315926","bRhkr5IlXVv2xrql7HzDLz","41","08HRinUcDyT3Hhat7cR2M3","gHMsCBBpgkJxb2zV44jqnI","397003","Modern Album","Patrick Hoffman","397.003","Expanded disintermediate function","37","Flores, Jones and Holloway","2022-05-24","87","jazz"
"449713","jAQHkXXIcwqMUiY8aRBjuR","89","YlJzGvQkIMC7w5uJu2xAWO","LwgqbFGI49Jz8UIYgUq9g8","223332","Stock Album","Erica Perry","223.332","Innovative tangible benchmark","68","Snyder-Conrad","2017-11-21","51","hip hop"
"289206","btRwXPk3cHWkmua31NyGI9","38","0fC3hXZpnZVLSw3TNOBkNi","Eo0PT4emlNSfepUW1YTuLc","119992","Firm Album","Charles Hughes","119.992","Reverse-engineered optimal encryption","92","Lopez-Smith","2016-09-14","70","electronic"
"135330","GXznlhcyZgV73nmWKVVt1S","45","dHZBE8IcGwz3RXlDhSHDuS","sbCNHebgYN7VkOZrNiedp4","133001","Group Album","Carrie Aguilar","133.001","Horizontal intermediate synergy","79","Vasquez-Cardenas","2017-08-29","39","indie"
